2023-12-28 12:07:59,058 WARN  [org.jboss.weld.Servlet] (default task-13) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:59,058 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:59,062 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:02,780 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas ]
2023-12-28 12:08:02,795 INFO  [stdout] (default task-3) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:08:02,847 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
2023-12-28 12:08:02,847 WARN  [org.jboss.weld.Conversation] (default task-13) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:08:02,858 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:02,858 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:02,859 WARN  [org.jboss.weld.Servlet] (default task-13) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:06,599 WARN  [org.jboss.weld.Conversation] (default task-13) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas ]
2023-12-28 12:08:06,632 INFO  [stdout] (default task-13) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:08:06,677 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:08:06,678 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
2023-12-28 12:08:06,687 WARN  [org.jboss.weld.Servlet] (default task-13) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:06,690 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:06,694 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:08:20,778 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/ ]
2023-12-28 12:08:20,787 INFO  [stdout] (default task-9) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:08:20,834 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:08:20,835 WARN  [org.jboss.weld.Conversation] (default task-13) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
